id,UG,NG,LG,GL,UPR,MID,LWR,LOC,RTD_UP1,RTD_UP2,RTD_UP3,RTD_UP4
UCHA2,N/A,N/A,N/A,N/A,UCHA2UPR,N/A,UCHA2LWR,N/A,N/A,N/A,N/A,N/A
CHLA2,N/A,N/A,N/A,N/A,CHLA2UPR,N/A,CHLA2LWR,N/A,N/A,N/A,N/A,N/A
CRHA2,N/A,N/A,N/A,N/A,CRHA2UPR,N/A,CRHA2LWR,N/A,UCHA2,N/A,N/A,N/A
MCDA2,N/A,N/A,N/A,N/A,N/A,N/A,MCDA2LOC,MCDA2LOC,CRHA2,N/A,N/A,N/A
CHFA2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CHFA2LOC,CHLA2,MCDA2,,
SALA2,N/A,N/A,N/A,N/A,SALA2UPR,N/A,SALA2LWR,N/A,N/A,N/A,N/A,N/A
GBDA2,N/A,N/A,N/A,N/A,GBDA2UPR,N/A,GBDA2LWR,N/A,N/A,N/A,N/A,N/A
KUPA2,N/A,N/A,N/A,N/A,KUPA2UPR,N/A,KUPA2LWR,N/A,N/A,N/A,N/A,N/A
SGRA2,N/A,N/A,N/A,N/A,SGRA2UPR,N/A,SGRA2LWR,N/A,N/A,N/A,N/A,N/A
CRUA2,N/A,N/A,N/A,N/A,CRUA2UPR,CRUA2MID,CRUA2LWR,N/A,N/A,N/A,N/A,N/A
WULA2,N/A,N/A,N/A,N/A,WULA2UPR,N/A,WULA2LWR,N/A,N/A,N/A,N/A,N/A
ABLA2,N/A,N/A,N/A,N/A,ABLA2UPR,N/A,ABLA2LWR,N/A,N/A,N/A,N/A,N/A
KIAA2,N/A,N/A,N/A,N/A,KIAA2UPR,N/A,KIAA2LWR,N/A,ABLA2RTD,N/A,N/A,N/A
CLTA2,N/A,N/A,N/A,CLTA2GL,CLTA2UPR,N/A,CLTA2LWR,N/A,N/A,N/A,N/A,N/A
GCSA2,N/A,N/A,N/A,N/A,GCSA2UPR,N/A,GCSA2LWR,GCSA2LOC,SUCA2,N/A,N/A,N/A
KNKA2,N/A,N/A,N/A,KNKA2GL,KNKA2UPR,N/A,KNKA2LWR,N/A,N/A,N/A,N/A,N/A
LSHA2,N/A,N/A,N/A,N/A,LSHA2UPR,N/A,LSHA2LWR,N/A,LSUA2,N/A,N/A,N/A
LSUA2,N/A,N/A,N/A,LSUA2GL,LSUA2UPR,N/A,LSUA2LWR,N/A,N/A,N/A,N/A,N/A
MACA2,MACA2UG,N/A,MACA2LG,N/A,MACA2UPR,N/A,MACA2LWR,N/A,N/A,N/A,N/A,N/A
MATA2,MATA2UG,N/A,MATA2LG,N/A,MATA2UPR,N/A,MATA2LWR,N/A,N/A,N/A,N/A,N/A
MONA2,N/A,N/A,N/A,N/A,MONA2UPR,N/A,MONA2LWR,N/A,N/A,N/A,N/A,N/A
SKWA2,SKWA2UG,N/A,SKWA2LG,N/A,SKWA2UPR,N/A,SKWA2LWR,N/A,N/A,N/A,N/A,N/A
SUCA2,N/A,N/A,N/A,N/A,SUCA2UPR,N/A,SUCA2LWR,SUCA2LOC,MACA2,SUDA2,N/A,N/A
SUDA2,SUDA2UG,N/A,SUDA2LG,N/A,SUDA2UPR,N/A,SUDA2LWR,N/A,N/A,N/A,N/A,N/A
SUNA2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SUNA2LOC,TRTA2,CLTA2,GCSA2,
TRTA2,N/A,N/A,N/A,TRTA2GL,TRTA2UPR,N/A,TRTA2LWR,N/A,N/A,N/A,N/A,N/A
WILA2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WILA2LOC,WLWA2,N/A,N/A,N/A
WLWA2,N/A,N/A,N/A,N/A,WLWA2UPR,N/A,WLWA2LWR,N/A,N/A,N/A,N/A,N/A
YLKA2,YLKA2UG,N/A,YLKA2LG,N/A,YLKA2UPR,N/A,YLKA2LWR,N/A,SKWA2,N/A,N/A,N/A
YSSA2,YSSA2UG,N/A,YSSA2LG,N/A,YSSA2UPR,N/A,YSSA2LWR,YSSA2LOC,YLKA2,N/A,N/A,N/A
MCGA2,N/A,N/A,N/A,MCGA2GL,MCGA2UPR,N/A,MCGA2LWR,N/A,N/A,N/A,N/A,N/A
KLCA2,N/A,N/A,N/A,N/A,KLCA2UPR,N/A,KLCA2LWR,N/A,MCGA2RTD,N/A,N/A,N/A
CJXA2,N/A,N/A,N/A,CJXA2GL,CJXA2UPR,N/A,CJXA2LWR,N/A,KLCA2RTD,N/A,N/A,N/A
ANKA2,N/A,N/A,N/A,N/A,ANKA2UPR,N/A,ANKA2LWR,N/A,CJXA2RTD,N/A,N/A,N/A
BRIN,N/A,BRINNG,N/A,BRINGL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
